Ý
[Acronyms.Lst Version 2.00 5/6/2005
[Compiled by p_elphick@cix.co.uk aka cotal@cotal.co.uk]
[This file is copyright and may not be re-distributed outside the CIX conferencing system without permission]
[topic info]
ameol
serious
fun
chatter
Ý

[common]
1VHB	One Very Happy Bunny
IMS	I Must Say
IMSI	International Mobile Subscriber Identification (ID in the SIM)
IMV	In My View
IMVHO	In My Very Humble Opinion
IN	Indiana
IND	I Never Do/I'm Not Dead/Immigration & Nationality Directorate (Home Office)
INDY	I'm Not Dead Yet
INGTPAATY	I'm Not Going To Pay Any Attention To You
INHW	If Not Here, Where?
INMP	It's Not My Problem
INPKIAM	Irritating New Parent Know It All Mode
INPO	In No Particular Order
INSTID	I'm Not Sure That I Do
INTSAT	I'm Not Totally Sure About This
IOD	Institute Of Directors
IOE	In Our Experience
IOM	Isle Of Man
IOTTMCO	It's Obvious To The Most Casual Observer
IOUAB	I Owe yoU A Beer
IOW	In Other Words/Isle Of Wight
IOYAB	I Owe You A Beer
IP	Internet Protocol/Intellectual Property
IPA	India Pale Ale/IsoPropyl Alcohol
IPD	Iterated Prisoner's Dilemma
IPF	Windows '95 GPF
IPL	Initial Program Load/Invisible Panty Line/Interrupt Priority Level
IPM	Inquisitions(s) Post Mortem/Institute of Personnel Management
IPN	I'm Posting Naked
IPO	Initial Public Offering
IPOF	In Point Of Fact
IPOYG   I Pee On Your Gate
IPR	Intellectual Property Rights
IPX	Internetwork Packet eXchange
IR	InfraRed/Infernal Revenue/I'm Rich
IRA	Irish Republican Army/Individual Retirement Account
IRBM	Intra-Regional Ballistic Missile
IRC	Internet Relay Chat
IRGTHKUDOAFC	I'd Rather Go To Hong Kong Upside Down On A Flying Carpet
IRGTHKUDUAFC	I'd Rather Go To Hong Kong Upside Down Under A Flying Carpet
IRL	In Real Life
IRMC	I Rest My Case
IRQ	Interrupt ReQuest
IRS	Internal Revenue Service (USA Tax Man)
IRTHG	I Refer The Honourable Gentleman
IRTHGTTAIGHAMA	I Refer The Honourable Gentleman To The Answer I Gave Him/Her A Moment Ago
IRTHGTTAIGSMA	I Refer The Honourable Gentleman To The Answer I Gave Some Moments Ago
IRTHGTTRIGSMA	I Refer The Honourable Gentleman To The Reply I Gave Some Moments Ago
IRTM	I Read The Manual/I Remember That Much
IS	In Stock
ISA	Industry Standard Architecture
ISAD	In Stock At Distributor
ISAS	In Stock At Supplier
ISAV	In Stock At Vendor
ISC	I Stand Corrected
iSCSI	Internet Small Computer Systems Interface
ISDBI	I Still/Simply Don't Believe It
ISDN	Integrated Services Digital Network/It Still Does Nothing
ISDNBY	I Still Do Not Believe You
ISDNKWYM	I Still Do Not Know What You Mean
ISFE	I Speak From Experience!
ISHG	I Should Have Guessed
ISIHAC	I'm Sorry I Haven't A Clue
ISIHGAC	I'm Sorry I Haven't Got A Clue
ISIRTA	I'm Sorry I'll Read That Again
ISITNOTL	Irish Stew In The Name Of The Loh
ISIWRTA	I'm Sorry I Will Read That Again
ISLAGIATT	It Seemed Like A Good Idea At The Time
ISN	Initial Sequence Number/I'll Stop Now
ISND	I Saw No Dots
ISO	International Standards Organisation
ISOYF	I Spit On Your Fine(s)
ISP	Internet Service Provider/I'm Staying Put
ISS	Internet Security Systems/International Space Station/I Say So
IST	International Service Team
ISTBC	I Stand To Be Corrected
ISTM	It Seems To Me
ISTMIWCR	I'll Send The Men In White Coats Round
ISTMT	It Seems To Me That
ISTR	I Seem To Recall/Remember
ISTST	I Should Think So Too
ISWBNI	It Still Would Be Nice If
ISWYM	I See What You Mean
IT	Information Technology
ITAAISBM	Is That An Acronym I See Before Me?
ITABOAF	Is This A Bug Or A Feature?
ITAC	Is That A Challenge?
ITADISBM	Is That A Dagger I See Before Me?
ITALY	I Trust And Love You
ITAR	International Traffic in Arms Regulations
ITBBPT	In The Best Blue Peter Tradition
ITBOF	Is This a Bug Or a Feature?
ITC	In That Case
ITIGTHOTN	I Think I'm Getting The Hang Of This Now
ITJLAO	Isn't That Just Life All Over
ITM	In The Meantime/In The Money
ITMA	It's That Man Again
ITMT	In The MeanTime
ITNOTL	In The Name Of The Law
ITNR	In The Next Release
ITPAC	Is The Pope A Catholic?
ITRO	In The Region Of
ITTDMB	I'll Try To Do My Best
ITTIBM	I Think Therefore IBM
ITU-R	International Telecommunications Union Radio sector
ITU-T	International Telecommunications Union Telecommunications sector
ITW	In The Wild
ITYA	I Think You Are
ITYF	I Think You'll Find
ITYHMCWSWGAF	I Think You Have Me Confused With Someone Who Gives A F**k 
ITYMST	I Thought You Might Say That
ITYNT	I Told You Not To
ITYR	I Think You're Right
IVR	Interactive Voice Response
IVSTHT	I'm Very Sorry To Hear That
IVSTHTOGL	I'm Very Sorry To Hear That Oh Great Leader
IW	I/It Will/Won't
IWAP	It Was A Pleasure
IWAPTBOA	It Was A Pleasure To Be Of Assistance
IWB	It Will/Would Be
IWBB	It Would Be Better
IWBBI	It Would Be Better If
IWBITNAL	It Will Be In The Next Acronyms List
IWBN	It Would Be Nice
IWBNI	It Would Be Nice If
IWDIA	I Won't Do It Again
IWET	I Would/n't Expect That
IWFM	It Works For Me
IWHAGT	I Would Hazard A Guess That
IWHGTIAMOS	I Wouldn't Have Guessed That In A Month Of Sundays
IWHT	I Would Hope That/I Would Have Thought
IWHTST	I Would Have To Say That
IWIICBIANA	I Would If I Could, But I Am Not Able
IWIICBIC	I Would If I Could, But I Can't
IWIICBICSIW	I Would If I Could But I Can't, So I Won't
IWK	I Wouldn't Know
IWM	I Wouldn't Mind
IWOT	I Would Of Thought
IWOTT	I Would Of Thought That
IWPWSUPAUA	I Wish People Would Stop Using Pointless And Unnecessary Acronyms
IWR	I Will Return
IWSTM	It Would Seem To Me
IWW	I Wonder Why
IYAL	It's Your Acronym List
IYAM	If You Ask Me
IYANC	If You Are Not Careful
IYDM	If You Don't Mind
IYDMMA	If You Don't Mind Me/My Asking
IYDSWIM	If You Do See What I Mean
IYGMD	If You Get My Drift
IYKWGFY	If You Know What's Good For You
IYKWIM	If You Know What I Mean
IYNVHO	In Your Not Very Humble Opinion
IYO	In Your Opinion
IYOT	In Your Own Time
IYSS	If You Say So
IYSWIM	If You See What I Mean
IYWBSK	If You Would Be So Kind
J2EE	Java 2 platform, Enterprise Edition
J2ME	Java 2 platform, Micro Edition
J2SE	Java 2 platform, Standard Edition
JAAFU	Joint Anglo-American F*-Up
JAAMOI	Just As A Matter Of Interest
JAAS	Java Authentication and Authorisation Service
JAFEICA	Just Another Flaming Expense I Can't Afford...
JAIT	Just As I Thought
JAM	Just A Minute...
JANET	Joint Academic NETwork
JANFU	Joint Army-Navy F*-Up
JAR	Java ARchive
JAT	Just A Tick...
JBOD	Just a Bunch Of Disks
JC	Jesus Christ
JCB	Just Come Back/Joseph Charles Bamford (Invented big yellow digging machines)
JCBT	Just Come Back Today
JCE	Java Cryptography Extension
JCOPC	Judicial Committee Of the Privy Council
JDBC	Java DataBase Connectivity
JDDIA	Just Don't Do It Again
JDK	Java Development Kit
JFC	Java Foundation Classes
JFDI	Just F**king Do It
JFTR	Just For The Record
JG	Jolly Good/starling@cix
JGS	Jolly Good Show
JHC	Just Horizontally Challenged
JIC	Just In Case
JIT	Just In Time
JJE	Judge, Jury & Executioner
JJECOTC	Judge, Jury & Executioner Court Of The COTAL
JK	Just Kidding
JLMMTM	Just Like My Mother Taught Me
JLSTMT	Just Like She Taught Me Too
JLT	Just Like That
JLY	Just Like You 
JMS	Java Message Service
JNDI	Java Naming and Directory Interface
JNI	Java Native Invocation
JOATMON	Jack Of All Trades, Master Of None (Say it with a Jamaican accent)
JOOI	Just Out Of Interest
JPEG	Joint Photographic Experts Group
JPG	JPEG (a graphics file format - see gif conf)
JPL	Jet Propulsion Laboratory
JRE	Java Runtime Environment
JRTCC	cix:JRT Conference Chaplain
JSRF	Jet Set Radio Future
JSSE	Java Secure Socket Extension
JTFM	Just The Facts, Ma'am/Man
JTS	Java Transaction Service
JTYWLTKT	Just Thought You Would Like To Know That
JUNET	Japanese Unix NETwork
JVM	Java Virtual Machine
JW	Jehovah's Witness
KA	Kansas/Kings Arms
KB	KiloByte/KeyBoard/Knowledge Base
KBO	Keep Buggering On
KCBIWIYWI	Keep Coming Back, It Works If You Work It
KE	Kentucky
KIPPERS	Kids In Parents' Pockets Eroding Retirement Savings
KISS	Keep It Simple Stupid
KMI	Keep Me Informed
KOTC	Kiss On The Cheek
KUATB	Keep Up At The Back
KUTA	Kick Up The Arse
KUTGW	Keep Up The Good Work
KWIM	Know What I Mean
KWIMH	Know What I Mean Henry
KYA	Know Your Audience
L8R	Later
LA	Los Angeles/Low Alcohol/Lower Ancoats
LA	Louisiana
LAB	Lo And Behold
LAN	Local Area Network
LARA	Land Access and Recreation Association
LART	Luser Attitude Readjustment Tool
LASER	Light Amplification by Stimulated Emission of Radiation
LBD	Little Black Dress
LBICPHAGAS	Leans Back In Chair, Pours Him/Herself Another Glass And Sulks
LBS	London Bus Syndrome
LBT	Linus B. Torvalds (Linux creator)
LCPK	London Communities' Priestess of Kink = Mme Tytania
LCR	Light Carpet Rules (no staining substances, no shoes)
LD	Later, Dude/Liberal Democrat
LDL	Low-Density Lipoprotein ('bad' cholesterol)
LDLAS	Lies, Damn Lies And Statistics
LDR	Long Distance Relationship
LDS	Church of Jesus Christ of Latter Day Saints (or Mormons)
LEA	Local Education Authority
LEO	Low Earth Orbit/Lyons Electronic Office
LETS	Local Exchange Trading System
LFF	London Fetish Fair
LFN	Long File Name
LFNS	Long File NameS
LFT	Life Functions Terminated
LGM	Little Green Men
LH	Left Hand
LHSF	Let's Have Some Fun
LIBOR	London Inter-Bank Offered Rate
LIC	Licensed Internal Code
LICGAF	Like I Could Give A F**k
LIFO	Last In First Out
LILO	Last In Last Out
LIM	Lotus Intel Microsoft Expanded Memory Specification
LISP	Lots of Infuriating & Silly Parentheses/LISt Processing
LJ	Little Jobs
LLAD	Laughs Like A Drain
LLAM	Laughs Like A Maniac
LLAP	Live Long And Prosper
LLTA	Lots and Lots of Thunderous (or Thundering) Applause
LLU	Local Loop Unbundling
LMAO	Laughing My A** Off
LMB	Left Mouse Button
LMMWUR	Loyal Master Mariner cix:WUR
LMTM	Like Me (TradeMark)
LNB	Low Noise Block (downconverter)
LOG	League Of Gentlemen
LOL	Lots Of Luck/Laughing Out Loud
LOMBARD	Load Of Money But A Right/Real Dickhead
LOOB	Load Of Old Bollocks
LOTA	Lot Of Them About
LOTR	Lord Of The Rings
LOTSW	Last Of The Summer Wine
LOTUS	Lots Of Trouble Usually Serious
LP	Labour Party/Low Pressure
LPF	Lijst Pim Fortuyn
LRF	Little Rubber Feet
LS&B	Lock, Stock, & Barrel
LSATVB	Let's Start At The Very Beginning
LSB	Lock, Stock, & Barrel
LSDL	Let Sleeping Dogs Lie
LSE	London School of Economics
LSL	Link Support Layer
LSU	Leslies’ Surrogate/Second Uncle 
LT	Like That/Language, Timothy
LTA	Lawn Tennis Association
LTBALTY	Let That Be A Lesson To You
LTBW	Let The Buggers Wait
LTM	Laugh To Myself
LTM	Local Training Manager
LTMSH	Laughing 'Til My Sides Hurt
LTNS	Long Time No See
LTO	Linear Tape Open
LTPWL	Like The Poor Wee Lad
LTR	Long Term Relationship
LTS	Life's Too Short
LU	London Underground
LUL	London Underground Limited
LULAB	Love yoU Like A Brother
LULAS	Love yoU Like A Sister
LUSHOTHD	Leave Undone Something He Ought To Have Done
LVD	Low Voltage Differential
LYC	Like Your Cooking/Like You Could
LZ	Lempel-Zev (compression algorithm)
LZW	Lempel-Ziv-Welch (compression algorithm)
M&T	Mother and Toddler
MA	Massachusetts
MAA	Missed As Always
MAABOS	Mad As A Bunch Of Spiders
MAAF	MadAsAFish
MACHO	MAssive Compact Halo Object
MACINTOSH	Most Applications Crash If Not The Operating System Hangs
MAD	Mutually Assured Destruction
MAF	MadAsaFish
MAFL	Manual of Air Force Law
MAMBA	Miles And Miles of Bugger All
MARVEL	Machine Assisted Realisation of the Virtual Electronic Library
MASER	Microwave Amplification by Stimulated Emission of Radiation
MATYCSASA	More Acronyms Than You Can Shake A Stick At
MAU	Media (Medium) Access Unit/Multistation Access Unit
MAW	Model, Actress, Whatever
MB	MegaByte/Mercy Buckets (french)
MBR	Master Boot Record
MBT	Main Battle Tank
MC	Measurable Cardinal
MCA	Micro Channel Architecture/Monetary Compensatory Amounts  (the Green Pound)
MCPS	Mechanical Copyright Protection Society
MCSE	Minesweeper Competent, Solitaire Expert/Must Contact Someone Experienced/Microsoft Certified Systems Engineer
MD	Managing Director/Medical Doctor/MiniDisc/Maryland
MDA	Monochrome Display Adapter
MDBTYD	My Dad's Bigger Than Your Dad
MDF	Medium Density Fibreboard
MDI	Multiple Document Interface
MDM	Media Development Manager
MDN	My Dear Nephew
ME	Maine
MEETS	Many Expect Existential Transcendental Situations
MEGO	My Eyes Glaze Over
MEMS	Micro Electro-Mechanical Systems
MEP	Member of European Parliament
MFC	Microsoft Foundation Classes
MFI	Made For Idiots/Mullard Furnishing Industries
MFM	Modified Frequency Modulation
MFSW	Ministry For Silly Walks
MGA	Madam Guillotine Awaits
MH	Marshall Islands
MHEG	Multimedia and Hypermedia Experts Group
MHOTY	My Hat’s Off To You
MHS	Message Handling System
MI	Michigan
MI5	Military Intelligence 5 (Counter Espionage)
MI6	Military Intelligence 6 (Foreign)
MIA	Missed Irony Alert/Missing In Action
MIB	Mini In-Basket/Men In Black/Mine, I Believe/Management Information Base/Motor Insurance Bureau
MIC	Mother In Charge
MICROSOFT	Most Intelligent Customers Realise Our Software Only Fools Teenagers
MICROWAVE	Meals In Coffins, Revived Only With All Vitamins Removed
MIDI	Musical Instrument Digital Interface
MIHBM	May I Have BinMail
MIHBMP	May I Have BinMail Please
MIHBMT	May I Have BinMail Too
MIHBMTP	May I Have BinMail Too Please
MIL	Mother In Law
MILK	Made Inside Lime-scaled Kettle
MIME	Multipurpose Internet Mail Extensions
MIN	Mind In Neutral
MIPS	Millions of Instructions Per Second/Meaningless Indication of Processor Speed
MIRV	Multiple Independent Re-entry Vehicles
MIS	Management Information Systems
MIT	Massachusetts Institute of Technology
MIYMBNIYH	Melt In Your Mouth But Not In Your Hand
MJ	Marijuana
MLAGB	Muzzle Loaders' Association of Great Britain
MLP	Mindless Link Propagation/My Little Pony/Mobile Launch Platform/Mozilla Localisation Project/Memory Level Parallelism/Machine Learning and Perception/Molecular-level Large-area Printing/Multi-Layer Perceptron
MLR	Minimum Lending Rate
MMB	Middle Mouse Button
MMBTY	My Mum's Bigger Than You
MMC	Multi-Media Card/Microsoft Management Console/MIDI Machine Control
MMOB	Mind My Own Business
MMS	My Mother Said
MMWUR	Master Mariner cix:WUR
MN	Minnesota
MNC	Multi-National Corporation
MNIAP	My Name Is Angus Prune
MNIMC	My Name Is Michael Caine
MNP	Microcom Network Protocol
MO	Missouri
MOAB	Mother Of All Bombs/Massive Ordnance Air Blast
MOAHFD	Mother Of All Hell Fire & Damnation
MOB	Mad Old Bat/Bastard/Bitch
MOC	Me Old Chum
MODEM	MOdulator DEModulator
MOH	Music On Hold
MOM	Mind Over Matter
MOO	Matter Of Opinion
MOOAMH	Mountain Out Of A Mole Hill
MORF	Male OR Female
MOSS	Member Of the Same Sex
MOTAS	Member(s) Of The Appropriate Sex
MOTOS	Member(s) Of The Opposite Sex
MOTSS	Member(s) Of The Same Sex
MOU	Memorandum Of Understanding
MOUY	Make One Up Yourself
MOWA	Member Of Welsh Assembly
MP	Member of Parliament/Military Policeman/Northern Mariana Islands
MPFC	Monty Python's Flying Circus
MPSCSL	Metropolitan Police Service, Computer Systems Laboratory
MRCGP	Member College of GPs
MRDA	Mandy Rice Davies Applies ("Well He Would, Wouldn't He?")
MRGC	Maritime Radiocommunications General Certificate
MRLP	Monster Raving Loony Party (c/o The Dog and Partridge, Yateley, Hants)
MROK	Moderators Rule, OK
MRSA	Methicillin Resistant Staphyloccocus Aureus
MS	Multiple Sclerosis/MickeySoft/MicroSoft/ ManuScript
MSA	Motor Sports Association
MSD	MickeySoft/MicroSoft Diagnostics
MSDN	MicroSoft Developer Network
MSF	Médecins Sans Frontières
MSFN	Manned Space Flight Net
MSG	Mono-Sodium Glutamate
MSIE	MicroSoft Internet Explorer
MSIM	MicroSoft IntelliMouse
MSKB	MicroSoft Knowledge Base
MSMQ	MicroSoft Message Queue
MSN	Maybe Soon Now/MicroSoft Network/Manned Spaceflight Net
MSP	Member of Scottish Parliament
MSRT	Malicious Software Removal Tool
MSVC	Microsoft Visual C
MT	EMpTy/Montana
MTA	Message Transfer Agent
MTAACW	Many Thanks And Ain't Cix Wonderful
MTALL	Miracles Take A Little Longer
MTB	Mind The Baby/Motor Torpedo Boat
MTBF	Mean Time Between Failures
MTC	MIDI Time Code
MTCO	Measure Twice, Cut Once
MTFT	Many Thanks For That
MTIA	Many Thanks In Anticipation
MTMOI	Make The Most Of It
MTP	More Tea Please
MTPB	Mind The Poor Baby
MTPF	Mind The Poor Font
MTFYL	Mind The Formidable/Fine Young Lady
MTFYLFO	Mind The Formidable/Fine Young Lady For Once
MTPWFYL	Mind The Poor Wee Formidable/Fine Young Lady
MTPWFYLFO	Mind The Poor Wee Formidable/Fine Young Lady For Once
MTPWUS	Mind The Poor Wee Usual Suspects (TPWT, TPWL & TPWFD)
MTS	Microsoft Transaction Server
MTTR	Mean Time To Repair
MTU	Maximum Transmission Unit
MUD	Multi User Dungeon
MUG	Multi User Game
MUNG	Mash Until No Good
MUSM	Miss yoU So Much
MV	Motor Vessel
MVC	Most Valued Cixen
MW	Minimum Wage
MWTFDTSF	Martin, What The Fluff Does That Stand For?
MYMU	Make Your Mind Up
MYOB	Mind Your Own Business
NA	Never Again/Not Applicable/Neither Apply
NAA	None/Not At All
NAACP	National Association for the Advancement of Coloured People
NAAFI	Navy Army Air Force Institute (Service canteen & Shop)
NABU	Non-Adjusting Balls-Up
NAC	Net Access Conferencing
NAFAIAA	Not As Far As I Am Aware
NAFAIAC	Not As Far As I Am Concerned
NAFAIC	Not As Far As I'm Concerned
NAFAICS	Not As Far As I Can See
NAFAICT	Not As Far As I Can Tell
NAFAIK	Not As Far As I Know
NALOPKT	Not A Lot Of People Know That
NALOPNTKT	Not A Lot Of People Need To Know That
NALOPSTKT	Not A Lot Of People Seem To Know That
NAN	Nights Away Notification
NANEG	No Acronym, No E-Groat
NASA	National Aeronautics and Space Administration
NASAY	Not As Silly As You/Not As Sexy As Yoghurt
NAT	Network Address Translation
NATM	New Acronym To Me/Not At The Moment
NATO	North Atlantic Treaty Organization
NAV	Norton Anti Virus
NAY	Nobody Asked You
NBARPWUR	Nile Boatman And River Pilot to cix:WUR
NBATST	Not Both At The Same Time
NBC	Nuclear, Biological, Chemical
NBF	No Bloody Fear
NBG	No Bloody Good (The medicine didn't work)
NBL	Not Bloody Likely
NBTH	Nah! Burn The Heretic
NBTHS	Nah! Burn The Heretic Scum 
NC	No Children/ Nature Calls/No Comment/North Carolina
NCA	National Caving Association
NCSA	National Centre for Supercomputing in America/National Computer Security Agency
NCT	National Childbirth Trust/No Change There
ND	North Dakota
NDA	Non Disclosure Agreement
NDIB	Nobody Does It Better
NDN	Next Door Neighbour
NDNEG	No Definition, No E-Groat
NDW	Norton Desktop for Windows
NE	Nebraska
NEC	Not Even Considered
NEITBAL	Not Even In The Basement Acronym List
NES	National Elf Service
NETPI	No-one Expects The Portuguese Inquisition
NETSI	Nobody Expects The Spanish Inquisition
NETTW	Nobody Expects The Traffic Warden(s)
NFG	No F**king Good
NFI	No F**king Idea
NFoA	National Federation of Anglers
NFS	Network File System/National Fire Service
NFSCD	Now For Something Completely Different
NFW	No Flippin' Way
NG	Nods Graciously
NGB	National Governing Body
NGEAA	Normal Granny Eggs Apologies Applies
NGM	News Group Members
NH	New Hampshire
NHD	No He Didn't
NHN	Nearly Headless Nick
NHNW	Never Have Never Will
NI	Not Invited/Northern Ireland/National Insurance
NIAL	Not In Acronyms List
NIAM	Now I Am Mad/Never In A Million
NIAR	Now I Am Rich
NIC	Network Information Centre/Network Interface Card
NICAM	Near Instantaneous Companded Audio Multiplex
NICBDAT	Nothing Is Certain But Death And Taxes
NID	Not In Dictionary
NIDA	National Institute of Drug Abuse
NIFOC	Nude In Front Of Computer
NIH	Not Invented Here
NIITLTID	Not If It's The Last Thing I Do
NIMBY	Not In My Back Yard
NIMBYIIRTVOMPSICTUNM	Not In My Back Yard If It Reduces The Value Of My Property So I Can't Trade Up Next Move 
NIMCD	Not In My Current Dictionary
NIMHO	Not In My Humble Opinion
NIMO	Not In My Opinion
NIMTO	Not In My Term of Office
NIMVHO	Not In My Very Humble Opinion
NIN	No It's Not
NINJY	No It's Not Just You
NIOED	Not In the Oxford English Dictionary
NIP	Not In Public
NIPD	Not In Places Dictionary
NITAAL	Not In The Ameol Acronyms List
NITAL	Not In The Acronym List
NITD	Not In The Dictionary
NITRO	Not In The Region Of
NJ	New Jersey
NL	Not Likely
NLACGBOL	Never Let A Chance Go By O Lord
NLOS	Never Leave Out Sasha/Not Lewd Or Suggestive
NLP	Neuro Linguistic Programming/Northern Line Project
NLT	Not Like That
NLY	Not Like You
NM	New Mexico
NMI	Non Maskable Interrupt
NMR	No Moves Received
NN	Neural Net
NNAGT	Not Necessarily A Good Thing....
NNCP	Nextra Net Connect Professional (formerly SUT).
NNCS	Nextra Net Connect Starter (formerly OUT).
NNNNCCCN	New Norwegian Nextra Net CIX Conferencing Consulting Nut
NNON	Neo-Natal Outreach Nurse
NNOS	Neo-Natal Outreach Sister
NNTP	Network News Transfer Protocol
NNWW	Nudge, Nudge, Wink, Wink
NOAA	National Oceanic and Atmospheric Administration
NOCNHSS	No, Of Course Not, He Says Sarcastically
NOK	Next Of Kin
NOKO	Next Of Kin Officer
NORTON	kNickers Off Ready To Open kNees
NORWICH	kNickers Off Ready When I Come Home
NOTAR	NOTAilRotor
NOUN	Not Old Uncle Nick
NOYN	Not On Your Nellie
NP	New Programme/No Problem
NPB	Non-paying Bidder
NPBT	Net Payment Before Tax
NPD	No Problem, Dude
NPFS	Named Pipes Filing System
NPLU	Not People Like Us
NPMW	New and Prospective Members Welcome
NPR	National Public Radio
NQOS	Not Quite Our Sort
NRA	National Rifle Association
NRN	No Reply Necessary/National Radio Network
NS	NetScape/Non Smoking/Not Saying
NSA	National Security Agency
NSD	NearSite Dial
NSF	National Science Foundation
NSFAIK	Not So Far As I Know
NSFNET	National Science Foundation NETwork
NSFW	Not Suitable For Work
NSN	NearSite Network
NSNA	Never Say Never Again
NSOED	New Shorter Oxford English Dictionary
NSP	Nextra Sensory Perception
NSPWB	No Sex/Six Please, We're British
NSRA	National Small Bore Rifle Association
NSSTD	No Sooner Said Than Done
NSW	New South Wales
NSWBEASAP	Norman Service Will Be Exhumed As Soon As Possible
NSWBRASAP	Normal Service Will Be Resumed As Soon As Possible
NSWOHOA	No!, She Went Of Her Own Accord
NT	National Trust/New Technology/National Theatre/ Northern Territory
NTFDF	Not Too Far Distant Future
NTFS	NT Filing System
NTIAA	Not That I Am Aware
NTIAAO	Not That I Am Aware Of
NTIIAO	Not That I Is Aware Of
NTL	National Transportation Library
NTM	Not That Much
NTNOCN	Not The Nine O'Clock News
NTOOT	Nine Times Out Of Ten
NTS	NT Server
NTTP	Network Test & Termination Point
NTW	NT Workstation
NTY	No Thank You
NU	Number Unobtainable/Norton Utilities
NUSRE	Never Underestimate Sally Rowan Elphick
NUTGAUA	Not Unless You Get An Unknown Acronym
NV	Nevada
NVR	Non-Volatile RAM
NWPTSOP	Nobody Will Pay That Sort Of Price
NWWIHP	No Willy Waving In Here Please
NY	New York
NYITAL	Not Yet In The Acronyms List
OACFJRT	Official Acronyms Custodian for cix:JRT
OACFWUR	Official Acronyms Custodian for cix:WUR
OAP	Old Age Pensioner
OAS	On A Stick
OB	Outside Broadcast
OBC	On Back Cover
OBE	Order of the British Empire
OBGL	Oh Beneficent Great Leader
OBH	Official Birthday Honours
OBIDIA	Oh Bugger, I've Done It Again
OBL	Osama Bin Laden/Ordnance, Breech Loading
OBMOOTOT	Oh Bugger Missed Out On That One Then
OBN	Order of the Brown Nose
OBO	Or Best Offer/On Behalf Of
OBP	On Back Page
OBR	OutBasket Recovery
OC	Of Course
OCII	Of Course It Is
OCR	Optical Character Recognition
OCS	Open Crotch Shot/Official Conference Smirker
OD	Open Doc (alternative to OLE)/OverDose
ODAPI	Open DataBase Application Programming Interface
ODBC	Open DataBase Connectivity
ODI	Open-link Data Interface
ODMPWC	One Day My Prince Will Come
OE	Old English
OECD	Organisation for Economic Co-operation and Development
OED	Oxford English Dictionary
OEM	Original Equipment Manufacturer
OEO	Organisational Email Option
OES	Organisational Email Service
OEW	Or Else What?
OFFS	Oh For F**ks Sake
OFT	Office of Fair Trading/Operator Finger Trouble
OFTWOAD	O For The Wings Of A Dove
OGL	Oh/Our Great Leader/Open Gaming Licence
OGR	Optimal Goulomb Ruler
OH	Over Here/Ohio
OHMIGAWD	Oh My God
OIC	Oh! I See
OICWYM	Oh I See What You Mean
OICWYMN	Oh I See What You Mean Now
OITRO	Offers In The Region Of
OK	OK (Well, what did you expect?)/Oklahoma
OKA	Off Key Again
OKWGYW	OK Wise Guy, You Win 
OLAL	One Lives And Learns
OLE	Object Linking and Embedding
OLED	Organic Light-Emitting Diode
OLL	OnLine Love
OLO	Other Licensed Operators
OLOS	Other Licensed OperatorS 
OLR	Off Line Reader (AMEOL is the best)
OM	Old Man
OMAHD	One Man And His Dog
OMG	Oh My God
OMRLP	Official Monster Raving Looney Party
OMS	Over My Shoulder
OMW	On My Way
ONID	Oh No I Didn't
ONII	Oh No It Isn't
ONIN	Oh No I'm Not
ONION	Oh No I'm Obviously/Outstandingly/Overwhelmingly Not
ONIW	Oh No It Wasn't
ONO	Or Near Offer
ONS	Office For National Statistics
ONSN	Oh No She's Not
ONYD	Oh No You Don't/Didn't
ONYN	Oh No You're Not
OO	Object Oriented
OODAL	Out Of Date Acronyms List
OOI	Out Of Interest
OOK	ON Off Keying
OOL	Out Of Line
OOMPR	Out Of My Price Range
OOO	Out Of Order/Ogi Ogi Ogi (don't ask me I don't play rugby!)
OOOOOA	Out Of One, Out Of All
OOS	Out Of Stock
OOTB	Out Of The Box
OOTD	One Of These Days
OOTT	One Of Those Things
OOTW	Out Of The Window/Out Of This World
OP	Original Poster
OPATD	One Person And Their Dog
OPEC	Organisation of Petroleum Exporting Countries
OPM	Other People's Money
OQF	Ordnance, Quick Firing
OR	Oregon
ORB	Object Request Broker
OS	Ordnance Survey/Operating System
OS2	Obsolete Soon Too
OSA	Obstructive Sleep Apnoea
OSA	Official Secrets Act
OSAAT	One Step At A Time
OSF	Open Software Federation
OSGR	Ordnance Survey Grid Reference
OSPF	Open Shortest Path First
OSR	Oem Service Release
OSS	Open Source Software/Office of Strategic Services
OST	Obsolete Soon Too
OSW	On-Site Warranty
OT	Off Topic
OTA	Off Topic Again/Over-The-Air
OTB	Over The Board
OTC	On The Contrary
OTD	Off The Day
OTF	On The Floor
OTGH	On The Gripping Hand. (one hand, the other hand, the gripping hand)
OTL	Our TimeLine
OTOH	On The Other Hand
OTOOH	On The Other Other hand
OTOTT	On Top Of The Tree
OTR	Over The Rainbow
OTT	Over The Top
OTTH	On The Third Hand
OTTOMH	Off The Top Of My Head
OTYCDWYN	One Thing You Can Do With Your Nose
OU	Open University
OUT	Occasional User Tariff
OVHB	One Very Happy Bunny
OVP	Orange Value Promise
OVSN	Out Very Soon Now
OWAHD	One Woman And Her Dog
OWIBNI	Oh Wouldn't It Be Nice If
OWIL	Only When I Laugh
OWL	Object Windows Library/Ordinary Wizarding Level
OWLS	Ordinary Wizarding LevelS
OWP	Official Wheesht Photographer/Official Wibble Pessimist
OWR	Other Way Round 
OWTTE	Or Words To That Effect
